Start Date,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000660 KS Equity,005380 KS Equity,005930 KS Equity,0170016D US Corp,035420 KS Equity,035720 KS Equity,051910 KS Equity,207940 KS Equity,6501 JT Equity,7974 JP Equity,8TRA GR Equity,9984 JT Equity,AAPL US Equity,ABBV US Equity,ABT US Equity,ADBE US Equity,AFRM US Equity,ALIZF US Equity,AMAT US Equity,AMD US Equity,AMT US Equity,AMZN US Equity,ANET US Equity,ANT US Equity,APD US Equity,APH US Equity,APO US Equity,ARES US Equity,ASAN US Equity,ASML US Equity,AVGO US Equity,AXP US Equity,AZN US Equity,BA US Equity,BABA US Equity,BAC US Equity,BAM US Equity,BIDU US Equity,BILI US Equity,BILL US Equity,BIO US Equity,BLK US Equity,BP US Equity,BRK/B US Equity,BX US Equity,BYDDF US Equity,CAJPY US Equity,CAT US Equity,CBOE US Equity,USU1718RAD09 Corp,CME US Equity,COIN US Equity,CRM US Equity,CRWD US Equity,CSCO US Equity,USU1268FAB41 Corp,CVX US Equity,DDOG US Equity,DE US Equity,DIS US Equity,DOCU US Equity,DUK US Equity,EADSY US Equity,FANUY US Equity,FRCOY US Equity,FSLY US Equity,GE US Equity,GOOGL US Equity,GRAB US Equity,GS US Equity,HD US Equity,HDB US Equity,HMC US Equity,HOOD US Equity,HSBC US Equity,HTHIY US Equity,HUBS US Equity,IBM US Equity,IBN US Equity,ICE US Equity,INF US Equity,INFY US Equity,INTC US Equity,IQ US Equity,ITOCY US Equity,J US Equity,BL484563 Corp,JBL US Equity,JD US Equity,JNJ US Equity,JPM US Equity,KAOCF US Equity,KKR US Equity,KO US Equity,KSPI US Equity,KUASF US Equity,KYCCF US Equity,LI US Equity,LIN US Equity,LLY US Equity,LMT US Equity,BL458894@BVAL Corp,LRCX US Equity,MA US Equity,MARUY US Equity,MBFJF US Equity,MC US Equity,MCD US Equity,MCO US Equity,MELI US Equity,META US Equity,MFG US Equity,MITEY US Equity,MITSY US Equity,MKTX US Equity,MMM US Equity,MPNGF US Equity,MQ US Equity,MRAAY US Equity,MRK US Equity,MS US Equity,MSBHF US Equity,MSCI US Equity,MSFT US Equity,MU US Equity,NDAQ US Equity,NEE US Equity,NET US Equity,NFLX US Equity,NIO US Equity,NJDCY US Equity,NOW US Equity,NSRGY US Equity,NTES US Equity,NTRS US Equity,NU US Equity,NVDA US Equity,NVO US Equity,NVS US Equity,OKTA US Equity,OR US Equity,ORCL US Equity,PAGS US Equity,BBG000C31ZH2 Equity,PANW US Equity,PCOR US Equity,PDD US Equity,PFE US Equity,PG US Equity,PYPL US Equity,QCOM US Equity,BBG003TCRRN1 Equity,RELIANCE IN Equity,RHHBY US Equity,RKUNY US Equity,RMSG US Equity,RTX US Equity,SAIL US Equity,SAP GR Equity,SAP US Equity,SE US Equity,SFTBF US Equity,SHEL US Equity,SHOP US Equity,SIEGY US Equity,SMCAY US Equity,SMCI US Equity,SMFG US Equity,SNOW US Equity,SNPS US Equity,SNY US Equity,SNYFX US Equity,SOFI US Equity,SONY US Equity,SPGI US Equity,SPOT US Equity,SQM US Equity,SSDOY US Equity,STNE US Equity,STT US Equity,SUMCF US Equity,SVNDY US Equity,T US Equity,TAK US Equity,TCEHY US Equity,TCOM US Equity,TEAM US Equity,TKPHF US Equity,TM US Equity,TME US Equity,TMO US Equity,TOST US Equity,TSLA US Equity,TSM US Equity,TTDKY US Equity,TTE US Equity,TW US Equity,TWLO US Equity,TXN US Equity,UL US Equity,UNH US Equity,UPS US Equity,V US Equity,BL4727162 Corp,VIRT US Equity,VZ US Equity,WB US Equity,BBG000GPXKX9 Equity,WDAY US Equity,WMT US Equity,WORK US Equity,XIACF US Equity,XOM US Equity,XPEV US Equity,YNDX19 US Equity,ZM US Equity,ZS US Equity
10/31/2020,79900,164500,56600,,290000,66000,611000,971300,700.4,5698,16.774,1698.3,108.86,85.1,105.11,447.1,#N/A N/A,175.5,59.23,75.29,229.65,151.808,13.0563,#N/A N/A,276.24,28.21,36.86,42.3,22.11,361.21,34.963,91.24,102.96,144.39,304.69,23.7,#N/A N/A,133.05,44.67,100,586.42,599.21,15.48,201.9,50.42,6.8067,17.45,157.05,81.29,#N/A N/A,150.72,#N/A N/A,232.27,123.84,35.9,#N/A N/A,69.5,90.75,225.91,121.25,202.25,92.11,18.27,21.11,23.2633,63.51,36.9425,80.806,#N/A N/A,189.04,266.71,28.72,23.62,#N/A N/A,20.98,6.716,290.07,106.6536,10.55,94.4,12.81,14.27,44.28,24.7,4.82,78.5112,#N/A N/A,33.14,81.52,137.11,98.04,71,34.15,48.06,#N/A N/A,#N/A N/A,463.95,20.17,220.34,130.46,350.13,#N/A N/A,34.208,288.64,52.46,3.89,37.2,213,262.9,1214.05,263.11,2.48,14.98,157.89,538.85,133.739,37.04,#N/A N/A,11.72,71.7147,48.15,7.4883,349.84,202.47,50.34,40.33,73.21,51.97,47.574,30.58,12.645,99.51,112.27,86.79,78.27,#N/A N/A,12.534,31.945,73.9717,209.83,11.18,56.11,36.61,16.44,36.865,#N/A N/A,89.98,33.6332,137.1,186.13,123.36,11.24,935.85,39.99,9.71,#N/A N/A,54.32,#N/A N/A,92.24,106.83,157.7,16.25,25.55,92.543,64.33,26.79,2.272,5.54,250.02,213.86,45.3,#N/A N/A,#N/A N/A,16.3162,322.73,239.89,36.747,61.97,52.54,58.9,14.94,10.2067,20.394,15.39,76.34,28.76,191.62,30.975,131.29,14.88,473.12,#N/A N/A,129.3467,83.87,7.954,29.61,54.48,278.97,144.59,60.7588,305.14,157.11,181.71,#N/A N/A,21.38,56.99,41.55,220.91,210.12,46.25,25.58,2.865,32.62,19.38,14891,460.91,135.75
11/30/2020,97500,181500,66700,,277500,73600,800000,1119416,793.2,5926,21.855,1818,119.05,104.58,108.22,478.47,#N/A N/A,239.66,82.48,92.66,231.2,158.402,16.9188,#N/A N/A,280.14,32.7025,43.62,45.05,27.95,437.73,40.158,118.59,104.09,210.71,263.36,28.16,#N/A N/A,138.99,62.86,122.71,538.5,698.35,19.56,228.91,59.55,7.8133,17.73,173.59,91.32,#N/A N/A,175.03,#N/A N/A,245.8,153.28,43.02,#N/A N/A,87.18,98.92,261.62,148.01,227.88,92.66,26.135,24.27,27.2783,84.77,50.6839,87.72,#N/A N/A,230.58,277.41,34.5,27.72,#N/A N/A,25.89,7.567,394.33,117.9819,12.86,105.51,12.81,15.22,48.35,22.36,5.344,89.1226,#N/A N/A,38.22,85.35,144.68,117.88,76.3,37.93,51.6,#N/A N/A,#N/A N/A,512.25,35.99,256.42,145.65,365,#N/A N/A,45.266,336.51,58.6,4.5,39.24,217.44,282.34,1553.33,276.97,2.56,17.1,171.07,539.18,144.415,38.946,#N/A N/A,14.4667,76.654,61.83,7.8167,409.42,214.07,64.09,42.6633,73.59,75.08,49.07,50.53,15.875,106.91,111.08,90.37,93.12,#N/A N/A,13.4015,33.565,86.0508,245.04,10.88,57.72,47.36,18.89,48.987,#N/A N/A,138.81,38.31,138.87,214.12,147.17,12.94,879.05,40.82,11.2,#N/A N/A,71.72,#N/A N/A,101.7,121.16,180.37,17.3,33.84,109.038,66.765,31.83,2.821,5.77,325.84,227.5,50.2,#N/A N/A,10.48,18.1944,351.78,291.37,46.7355,70.65,73.22,70.48,18,10.4867,21.6998,17.83,73,33.59,225.05,35.631,134.46,16.76,464.98,#N/A N/A,189.2,97.02,9.358,43.05,59.65,320.09,161.25,65.2812,336.34,171.07,210.35,#N/A N/A,22.79,60.41,42.25,265.21,224.79,50.93,42.88,3.44,38.13,58.76,14891,478.36,155.75
12/31/2020,118500,192000,81000,,292500,77900,824000,1176384,813,6583,22.605,2014.5,132.69,107.15,109.49,500.12,#N/A N/A,238.55,86.3,91.71,224.46,162.847,18.1606,#N/A N/A,273.22,32.6925,48.98,47.05,29.55,487.72,43.785,120.91,101,214.06,232.73,30.31,#N/A N/A,216.24,85.72,136.5,582.94,721.54,20.52,231.87,64.81,8.8088,19.41,182.02,93.12,#N/A N/A,182.05,#N/A N/A,222.53,211.82,44.75,#N/A N/A,84.45,98.44,269.05,181.18,222.3,91.56,27.32,24.69,29.9533,87.37,53.7707,87.632,12.86,263.71,265.62,36.13,28.25,#N/A N/A,25.91,7.94,396.44,120.236,14.86,115.29,12.81,16.95,49.82,17.48,5.774,90.0482,#N/A N/A,42.53,87.9,157.38,127.07,75,40.49,54.84,54.1,#N/A N/A,569.96,28.83,263.51,168.84,354.98,#N/A N/A,47.227,356.94,66.81,4.4,46.76,214.58,290.24,1675.22,273.16,2.55,16.16,184.385,570.56,146.138,37.25,#N/A N/A,15.1033,77.9984,68.53,8.3167,446.53,222.42,75.18,44.2467,77.15,75.99,54.073,48.74,15.85,110.09,117.8,95.77,93.14,#N/A N/A,13.055,34.925,89.4614,254.26,12.68,64.69,56.88,19.42,59.232,#N/A N/A,177.67,36.81,139.14,234.2,152.34,12.45,904.33,43.84,9.67,#N/A N/A,71.51,#N/A N/A,107.22,130.39,199.05,19.9775,35.14,113.195,71.79,30.62,3.166,6.17,281.4,259.24,48.59,#N/A N/A,12.44,19.7176,328.73,314.66,48.7411,69.3,83.92,72.78,21.4472,11.84,21.7074,18.2,71.89,33.73,233.87,36,154.57,19.24,465.78,#N/A N/A,235.2233,109.04,10.1057,44.72,62.45,338.5,164.13,64.5328,350.68,168.4,218.73,#N/A N/A,25.17,58.75,40.99,272.83,239.61,48.05,42.24,4.26,41.22,42.83,14891,337.32,199.71
1/30/2021,122500,229000,82000,,343000,88200,917000,1129385,861.2,6058,22.565,2027,131.96,102.48,123.59,458.77,99.59,227.25,96.68,85.64,227.36,160.31,19.2225,#N/A N/A,266.76,31.22,45.94,45.16,35.37,534.16,45.05,116.26,104.5,194.19,253.83,29.65,#N/A N/A,235.02,113.89,121.88,573.77,701.26,22.22,227.87,67.19,10.17,22.1,182.84,91.73,#N/A N/A,181.74,#N/A N/A,225.56,215.8,44.58,#N/A N/A,85.2,102.75,288.8,168.17,232.89,94,25.1,26.29,28.8233,109.35,53.1733,91.368,13.9,271.17,270.82,36.05,26.48,#N/A N/A,26.15,8.299,372.2,113.7696,15.1,110.35,12.81,16.88,55.51,21.85,5.763,83.4368,#N/A N/A,41.37,88.69,163.13,128.67,73.9,38.95,48.15,63.4,#N/A N/A,555,32.25,245.4,207.97,321.82,#N/A N/A,48.395,316.29,67.31,4.4,49.71,207.84,266.26,1779.51,258.33,2.69,15.89,186.275,540.76,146.865,46.26,#N/A N/A,16,73.4882,67.05,8.4833,395.3,231.96,78.27,45.09,80.87,76.66,53.239,57,16.715,108.63,112.3,114.99,89.19,#N/A N/A,12.9898,34.8,85.7097,259.01,11.2,60.43,48.95,20.74,58.458,#N/A N/A,165.71,35.9,128.21,234.31,156.28,11.38,839.03,43.41,9.9,#N/A N/A,66.73,#N/A N/A,104.78,126.2,216.71,19.3713,36.89,109.859,77.35,30.64,3.1,6.21,272.45,255.45,47.21,#N/A N/A,25.14,18.6663,317,315,50.578,65.7,71.9,70,21.5,12.8,21.6092,17.63,89.31,31.83,231.13,35.315,140.52,26.6,509.7,#N/A N/A,264.51,121.52,10.7733,42.87,60.79,359.43,165.69,62.3732,333.58,155,193.25,#N/A N/A,27.77,54.75,45.58,242.75,227.53,46.83,42.17,3.71,44.84,48.18,14891,372.07,199.7
2/27/2021,141500,237000,82500,,375000,97600,831000,1068145,975.2,6475,22.955,2473.8,121.26,107.74,119.78,459.67,93.06,244.99,118.19,84.51,216.13,154.647,17.49,#N/A N/A,255.62,31.42,49.46,51.98,34.63,567.09,46.987,135.26,97.3,212.01,237.76,34.71,#N/A N/A,283.46,125.97,165.01,584.5,694.5,24.41,240.51,69.23,8.6333,21.63,215.88,98.96,#N/A N/A,199.7,#N/A N/A,216.5,216,44.87,#N/A N/A,100,95.41,349.12,189.04,226.66,85.59,29.19,25.1,33.2817,73.58,62.4338,101.096,12.95,319.48,258.34,39.57,27.67,#N/A N/A,29.71,9.3,515,113.5977,16.61,110.31,12.81,17.12,60.78,25.33,6.018,95.106,#N/A N/A,43.17,93.87,158.46,147.17,66.79,45.56,48.99,79.9,54,484.5,25.37,244.27,204.89,330.25,#N/A N/A,56.719,353.85,75.56,5.193,51.64,206.14,274.89,1638.11,257.62,2.97,17.49,216.06,555.94,146.363,46.1,#N/A N/A,14.4,69.2451,76.87,9.562,414.52,232.38,91.53,46.0967,73.48,73.97,53.885,45.78,16.05,106.69,104.82,109.85,95.13,#N/A N/A,13.7145,35.625,81.3897,261.45,9.99,64.51,58.06,21.57,59.718,#N/A N/A,171.16,33.49,123.53,259.85,136.19,13.12,950.11,41.1,11.03,#N/A N/A,71.99,#N/A N/A,102.4,123.35,235.69,23.5875,41.03,128.097,77.5,30.05,3.263,7.02,259.54,245.21,45.89,#N/A N/A,18.43,20.6361,329.36,307.38,53.2191,75.28,85.81,72.77,23.24,12.7587,21.0507,16.71,87.2,39.45,237.7,33.655,147.93,25.72,450.08,#N/A N/A,225.1667,125.94,9.7047,47,72.79,392.88,172.27,55.659,332.22,157.83,212.39,#N/A N/A,27.27,55.3,55.17,277.31,245.18,43.3067,40.93,3.35,54.37,34.11,14891,373.61,205.03
3/31/2021,132500,218000,81400,,377000,99600,805000,1065296,1000.8,6181,23.04,2332.5,122.15,108.22,119.84,475.37,70.72,257.5,133.6,78.5,239.06,154.704,18.8681,#N/A N/A,281.34,32.985,47.01,56.03,28.58,617.36,46.366,141.44,100.85,254.72,226.73,38.69,#N/A N/A,217.55,107.06,145.5,571.17,753.96,24.35,255.47,74.53,7.2533,22.77,231.87,98.69,#N/A N/A,204.23,#N/A N/A,211.87,182.51,51.71,#N/A N/A,104.79,83.34,374.14,184.52,202.45,96.53,28.39,24.1075,26.6933,67.28,65.3712,103.126,11.7,327,305.25,38.845,30.2,#N/A N/A,29.14,9.245,454.21,127.2852,16.03,111.68,12.81,18.72,64,16.62,6.5325,106.8331,#N/A N/A,52.16,84.33,164.35,152.23,65.5,48.85,52.71,70.9709,39.25,465.75,25,280.14,186.82,369.5,#N/A N/A,59.524,356.05,84.07,5.35,54.88,224.14,298.61,1472.14,294.53,2.91,17.57,210.745,497.92,161.095,39.12,#N/A N/A,13.44,73.5073,77.66,9.5867,419.28,235.77,88.21,49.1533,75.61,70.26,52.166,38.98,15.31,100.02,111.51,103.26,105.11,#N/A N/A,13.3482,33.71,80.9823,220.43,11.02,70.17,46.3,24.4,53.677,#N/A N/A,133.88,36.23,135.43,242.84,132.59,13.42,912.44,40.56,12.08,#N/A N/A,77.27,#N/A N/A,104.32,122.79,223.23,21.355,39.21,110.65,82.296,29.67,3.906,7.25,229.28,247.78,49.46,#N/A N/A,17.15,20.6752,352.87,267.95,53.07,67.68,61.22,84.01,23.2,13.5,22.8471,18.26,79.8,39.63,210.76,36.56,156.06,20.49,456.38,#N/A N/A,222.6433,118.28,9.34,47.14,74,340.76,188.99,59.6897,372.07,169.99,211.73,#N/A N/A,31.05,58.15,50.46,268.63,248.43,45.2767,40.63,3.39,55.83,36.51,14891,321.29,171.67
4/30/2021,128000,212000,81500,,359500,113500,932000,1145051,1076.2,6269,23.54,2471.3,131.46,111.5,120.08,508.34,70.5,261.845,132.71,81.62,254.77,173.371,19.6981,#N/A N/A,288.48,33.67,55.37,52.52,33.32,648.1,45.62,153.35,107.84,234.31,230.95,40.53,#N/A N/A,210.33,110.86,154.63,630.13,819.3,25.16,274.95,88.49,6.9167,23.73,228.11,104.37,#N/A N/A,201.99,297.64,230.32,208.51,50.91,#N/A N/A,103.07,85.77,370.85,186.02,222.94,100.69,30.01,23.0699,27.31,63.87,65.3215,117.675,13.31,348.45,323.67,35.14,29.82,#N/A N/A,31.22,9.871,526.45,135.5187,16.3,117.71,12.81,18.08,57.53,14.71,6.24,110.4198,#N/A N/A,52.42,77.36,162.73,153.81,63.25,56.58,53.98,70.9709,31.1,482.85,19.74,285.84,182.77,380.56,#N/A N/A,62.045,382.06,83.52,5.35,54.28,236.08,326.71,1570.98,325.08,2.91,16.475,210.375,488.46,164.824,38.0908,#N/A N/A,13.28,71.0377,82.55,9.2333,485.77,252.18,86.07,53.8467,77.51,84.74,51.347,39.84,14.53,101.27,119.53,112.06,113.8,#N/A N/A,15.0095,36.975,80.7549,269.7,12.08,75.79,45.74,24.52,58.898,#N/A N/A,133.93,38.65,133.42,262.29,138.8,14.51,908.52,40.71,12.71,#N/A N/A,83.24,#N/A N/A,116.2,139.94,252.54,22.6735,38,118.251,83.36,29.1136,3.702,7.04,231.59,247.06,52.37,#N/A N/A,17,19.5342,390.39,252.12,52.74,72.8,64.64,83.95,26,14.3467,23.7075,16.7,79.66,39.08,237.56,33.305,150.77,17.42,470.23,#N/A N/A,236.48,116.74,9.09,44.61,81.28,367.8,180.51,62.7795,398.8,203.86,233.56,#N/A N/A,29.63,57.79,50.4,287.72,247,46.6367,42.4,3.15,57.24,29.91,14891,319.57,187.64
5/31/2021,127000,235000,80500,,362500,123000,819000,1203443,1147.2,6770,27.3,2064,124.61,113.2,116.65,504.58,60.81,261.995,138.13,80.08,255.46,161.154,21.2113,#N/A N/A,299.66,33.63,57.34,55.18,36.78,675.47,47.233,160.13,116.26,247.02,213.96,42.39,#N/A N/A,196.27,107.18,148.92,602.37,877.04,26.23,289.44,92.67,7.6667,23.89,241.08,111.3,#N/A N/A,218.76,236.54,238.1,222.15,52.9,#N/A N/A,103.79,91.05,361.1,178.65,201.62,100.22,32.7,24.015,27.1167,47.19,70.0015,117.843,11.79,372.02,318.91,38.265,31.26,#N/A N/A,32.38,10.531,504.38,137.2953,18.01,112.88,12.81,19.34,57.12,14.26,6.028,117.4197,#N/A N/A,56.45,73.94,169.25,164.24,62.15,55.69,55.29,79.75,29.05,499.96,23.3,300.6,199.74,382.2,#N/A N/A,64.985,360.58,90,5.91,53.69,233.89,335.35,1358.67,328.73,3.13,16.49,222.408,466.54,169.757,34.63,#N/A N/A,12.5733,72.3631,90.95,9.12,468.13,249.68,84.14,55.82,73.22,82.06,50.281,38.62,14.42,94.78,123.67,117.93,121.19,#N/A N/A,16.2445,39.45,83.7297,222.44,14.3,78.74,49.11,28.19,60.542,86.42,124.88,38.73,134.85,260.02,134.54,15.22,984.04,43.76,11.5375,#N/A N/A,88.71,#N/A N/A,114.1,139.93,253.24,19.23,38.61,124.287,82.06,30.11,3.474,7.32,238.03,254.34,53.43,#N/A N/A,20.15,19.427,379.47,241.57,43.37,72.665,65.97,86.98,22.41,14.6667,22.2131,17.09,78.38,41.85,233.28,34.1,165.98,15.74,469.5,#N/A N/A,208.4067,117.36,8.4687,47.82,83.78,336,189.82,64.1159,411.92,214.6,227.3,#N/A N/A,30.45,56.49,50.84,274.44,228.72,47.3433,44.04,3.75,58.37,32.13,14891,331.53,194.2
6/30/2021,127500,239500,80700,,417500,163000,850000,1197746,1272.2,6462,26.7,1943.8,136.96,112.64,115.93,585.64,67.35,255.21,142.4,93.93,270.14,172.008,22.6444,#N/A N/A,287.68,34.205,62.2,63.59,62.03,690.84,47.684,165.23,121.32,239.56,226.78,41.23,#N/A N/A,203.9,121.84,183.18,644.29,874.97,26.42,277.92,97.14,9.9967,22.63,217.63,119.05,#N/A N/A,212.68,253.3,244.27,251.31,53,#N/A N/A,104.74,104.08,352.71,175.77,279.57,98.72,32.2,23.97,25.0333,59.6,67.0142,122.09,11.7,379.53,318.89,36.56,32.18,#N/A N/A,28.85,11.454,582.72,140.0175,17.1,118.7,12.81,21.19,56.14,15.58,5.753,110.2628,#N/A N/A,58.12,79.81,164.74,155.54,61,59.24,54.11,93.8889,25.4,500.63,34.94,289.1,229.52,378.35,#N/A N/A,65.07,365.09,87.045,5.505,56.89,230.99,362.37,1557.79,347.71,2.85,16.135,225.1,463.59,166.07,41.1,28.07,12.7467,77.77,91.69,9.0605,533.08,270.9,84.98,58.6,73.28,105.84,52.821,53.2,14.45,109.91,124.74,115.25,115.62,#N/A N/A,20.0025,41.885,86.4392,244.68,13.7,77.84,55.92,28.88,61.842,94.95,127.02,39.16,134.93,291.48,142.93,15.87,961.43,46.99,11.2375,#N/A N/A,85.31,#N/A N/A,118.58,140.46,274.6,17.41,40.4,146.098,79.639,29.58,3.518,6.89,241.8,275.79,52.66,#N/A N/A,19.17,18.9608,410.45,275.59,47.33,73.81,67.06,82.28,23.38,15.88,21.7225,16.83,75.3,35.46,256.86,33.365,174.84,15.48,504.47,#N/A N/A,226.5667,120.16,8.058,46.01,84.56,394.16,192.3,62.5442,400.44,207.97,233.82,#N/A N/A,27.63,56.03,52.62,256.06,238.74,47.0067,44.3,3.45,63.08,44.42,14891,387.03,216.06
7/31/2021,112500,218000,78500,,433500,147000,842000,1267532,1251.6,5640,26.32,1709.3,145.86,116.3,120.98,621.63,56.32,249.5,139.93,106.19,282.8,166.38,23.7744,#N/A N/A,291.03,36.245,58.86,71.61,71.06,766.74,48.54,170.53,114.11,226.48,195.19,38.36,#N/A N/A,164.01,85.58,206.82,739.51,867.17,24.18,278.29,115.27,10.27,23.08,206.75,118.47,#N/A N/A,212.13,236.58,241.93,253.61,55.37,#N/A N/A,101.81,110.7,361.59,176.02,298.04,105.11,34.325,22.3975,22.5867,48.07,64.4751,134.727,10.68,374.88,328.19,35.285,32.1,35.15,27.57,11.198,596.02,134.6399,18.59,119.83,12.81,22.12,53.72,11.16,5.923,111.7752,#N/A N/A,59.54,70.88,172.2,151.78,61.9,63.76,57.03,99.9,18,558,33.39,307.39,243.5,371.67,#N/A N/A,63.741,385.94,84.81,5.34,59.25,242.71,376,1568.7,356.3,2.87,15.61,230.02,475.17,165.493,27.725,26.83,13.8267,76.87,95.98,9.45,595.96,284.91,77.58,62.2433,77.9,118.63,51.757,44.68,14.085,117.58,126.6605,102.21,112.85,#N/A N/A,19.499,46.3,87.5287,247.79,13.64,87.14,55.44,23.67,66.508,103.28,91.61,42.81,142.23,275.53,149.8,15.12,927.11,48.26,10.95,#N/A N/A,86.95,#N/A N/A,120.52,143.72,276.16,15.7,40.62,149.993,78.105,29.82,3.804,6.74,265.72,287.99,51.56,#N/A N/A,15.44,20.3416,428.72,228.67,47.5,66.9,58.84,87.14,22.6,14.88,21.1715,16.5,61.2,25.93,325.12,33.43,179.84,10.57,540.01,#N/A N/A,229.0667,116.64,7.6113,44.55,86.73,373.59,190.62,61.5072,412.22,191.36,246.39,#N/A N/A,25.74,55.78,56.4,258.22,234.4,47.5167,45.2,3.32,57.57,40.53,14891,378.1,235.91
8/31/2021,106500,212500,76700,,439000,155000,758000,1374346,1217,5290,24.86,1545.3,151.83,120.78,126.37,663.7,96.34,231.06,135.13,110.72,292.17,173.54,23.0956,#N/A N/A,269.51,38.315,59.78,77.18,75.55,833.04,49.721,165.96,116.15,219.5,166.99,41.75,#N/A N/A,157.02,80.23,274.39,804.82,943.29,24.46,285.77,125.73,11.195,23.81,210.87,126.15,#N/A N/A,201.72,259,265.27,281,59.02,#N/A N/A,96.77,137.8,378.03,181.3,296.24,104.66,34.12,21.83,21.9033,43.6,65.6015,144.698,10.75,413.51,326.18,39.155,30.26,44.32,26.44,11.03,684.47,134.0477,19.62,119.53,12.81,23.82,54.06,9.06,6.004,111.5355,#N/A N/A,61.78,78.56,173.13,159.95,60.6,64.29,56.31,99.9,9,598.82,30.86,314.59,258.29,359.8,#N/A N/A,60.482,346.23,79.26,5.2401,61.95,237.46,380.77,1867.45,379.38,2.78,15.53,221.33,475.92,162.817,31.9,29.04,13.7333,76.29,104.43,10.08,634.58,301.88,73.7,65.26,83.99,120.74,56.919,39.31,14.355,128.73,126.29,97.42,118.52,#N/A N/A,22.385,49.985,87.5287,263.6,12.22,89.13,59.47,24.29,76.84,90.7,100.02,46.07,142.39,288.66,146.69,15.31,1028.62,50.22,10.41,#N/A N/A,84.76,#N/A N/A,126.74,150.14,338.32,14.065,39.76,152.478,82.76,32.01,3.654,6.9,304.35,332.24,51.78,#N/A N/A,14.18,20.1778,443.82,234.34,52.15,66.2,46.54,92.91,21.24,14.5067,20.696,16.59,61.66,30.49,367.06,34,174.23,8.84,554.95,#N/A N/A,245.24,119.01,6.9793,43.37,87.01,356.96,190.91,59.5293,416.27,195.63,229.1,#N/A N/A,24.48,55,50.52,263.28,273.16,49.3667,45.2,3.2,54.52,42.5,14891,289.5,278.34
9/30/2021,103000,200000,74100,,388000,118000,776000,1244745,1328,5431,22.14,1620,141.5,107.87,118.13,575.72,119.13,231.81,128.73,102.9,265.41,164.252,21.4775,#N/A N/A,256.11,36.615,61.59,73.83,103.84,745.11,48.493,167.53,121.6,219.94,148.05,42.45,#N/A N/A,153.75,66.17,266.95,745.95,838.66,27.33,272.94,116.34,10.3745,24.38,191.97,123.86,#N/A N/A,193.38,227.48,271.22,245.78,54.43,#N/A N/A,101.45,141.35,335.07,169.17,257.43,97.59,33.39,22.05,24.6233,40.44,64.1203,133.676,10.22,378.03,328.26,36.545,30.67,42.08,26.15,11.862,676.09,132.7009,18.87,114.82,12.81,22.25,53.28,8.03,5.873,109.5273,#N/A N/A,58.37,72.24,161.5,163.69,59.65,60.88,52.47,112.5,12.1,597,26.29,293.38,231.05,345.1,#N/A N/A,56.915,347.68,84.63,5.9,61.87,241.11,355.11,1679.4,339.39,2.84,15.87,220.244,420.69,146.664,31.735,22.12,14.7,75.11,97.31,10.5833,608.34,281.92,70.98,64.34,78.52,112.65,61.034,35.63,13.905,124.45,120.21,85.4,107.81,#N/A N/A,20.716,48.005,77.477,237.34,11.23,87.13,51.72,21.54,79.833,89.34,90.67,43.01,139.8,260.21,128.98,14.43,1147.55,45.47,9.86,#N/A N/A,85.96,#N/A N/A,116.88,135.04,318.73,14.5938,44.57,135.578,82.14,31.63,3.657,7.01,302.43,299.41,48.21,#N/A N/A,15.88,21.5664,424.89,225.34,53.72,67.51,34.72,84.72,19.07,15.18,20.3865,16.38,59.77,30.75,391.42,32.9,177.75,7.25,571.33,49.95,258.4933,111.65,7.236,48.56,80.78,319.05,192.21,57.9684,390.74,182.1,222.75,#N/A N/A,24.43,54.01,47.49,261.27,249.89,46.46,45.2,2.75,58.82,35.54,14891,261.5,262.22
