"Ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry"
"UNH","A069E","UnitedHealth Group Inc","US91324P1021","NYSE","USA","Managed Healthcare (NEC)"
"UNH","AF6FB","Uniholdings Inc","PH0000058851","PSE","PHL","Real Estate Rental, Development & Operations (NEC)"
"UPS","A2124","United Parcel Service Inc","US9113121068","NYSE","USA","Courier, Postal, Air Freight & Land-based Logistics (NEC)"
"V","0BCDA","Verdera Energy Corp","CA92339J1075","CVE","CAN","Shell Companies"
"V","A26C7","Vivendi SE (ADR)","US92851S2041","NYSE","USA","Entertainment Production (NEC)"
"V","AD483","Vantage Equities Inc","PHY935661009","PSE","PHL","Investment Management & Fund Operators (NEC)"
"V","AF152","Visa Inc","US92826C8394","NYSE","USA","Transaction & Payment Services"
"VIRT","EE89E","Virtu Financial Inc","US9282541013","NYSE","USA","Investment Banking & Brokerage Services (NEC)"
"VZ","A2537","Verizon Communications Inc","US92343V1044","NYSE","USA","Integrated Telecommunications Services (NEC)"
"WB","EEAE1","Weibo Corp (ADR)","US9485961018","NASD","USA","Social Media & Networking"
"WDAY","E1124","Workday Inc","US98138H1014","NASD","USA","Application Software"
"WMT","9556N","Walmart Inc","US9311421039","NASD","USA","Food Retail & Distribution (NEC)"
"WORK","A9FF2","Workpoint Entertainment PCL","TH0788010005","BAK","THA","Entertainment Production (NEC)"
"XOM","A2144","Exxon Mobil Corp","US30231G1022","NYSE","USA","Oil & Gas Refining and Marketing (NEC)"
"XPEV","09A5E","Xpeng Inc - ADR","US98422D1054","NYSE","USA","Electric (Alternative) Vehicles"
"ZM","0842B","Zoom Communications Inc","US98980L1017","NASD","USA","Software (NEC)"
"ZS","0274E","Zscaler Inc","US98980G1022","NASD","USA","System Software"
"ANT",NA,"Quanta Services","US1924461023","NYSE","USA","Unknown"
"HMC",NA,"LHMC Finco 2 SARL","XS3049411971","NYSE","USA","Unknown"
"HSBC",NA,"HSBC Holdings PLC","GB0005405286","NYSE","USA","Unknown"
"ICE",NA,"C-Band Auction Spectrum","US81762P1021","NYSE","USA","Unknown"
"IQ",NA,"PsiQuantum Corp.","US46266C1053","NYSE","USA","Unknown"
"NIO",NA,"WellBe Senior Medical LLC","US89400J1079","NYSE","USA","Unknown"
"NTES",NA,"Centessa Pharmaceuticals","IT0000072618","NYSE","USA","Unknown"
"NVO",NA,"Envoy Medical","US29415V1098","NYSE","USA","Unknown"
"SONY",NA,"Sony Group Corp","JP3435000009","NYSE","USA","Unknown"
"TAK",NA,"Power TakeOff, Inc.","US8740541094","NYSE","USA","Unknown"
"TCOM",NA,"Better Outcome Partners","DK0060952919","NYSE","USA","Unknown"
"UL",NA,"US Ultra Bond CBT Jun26","US7458671010","NYSE","USA","Unknown"
"WB",NA,"Alibaba Group Holding","AU000000WBC1","NYSE","USA","Unknown"
"WORK",NA,"Justworks, Inc.","US6974351057","NYSE","USA","Unknown"
